This algorithm checks if G_PQ = 0 for relevant varieties.
The number Omega of essential conditions is fixed
and the condition I[1] < ... < I[Omega] < K <= J[1] <
< ... < J[Omega] < L is imposed.
I := [1], K := 2, J := [3], L := 4
I := [3], K := 4, J := [14], L := 17
I := [2], K := 5, J := [14], L := 17
I := [3], K := 5, J := [14], L := 17
I := [4], K := 5, J := [14], L := 17
I := [3], K := 6, J := [14], L := 17
I := [4], K := 6, J := [14], L := 17
I := [5], K := 6, J := [14], L := 17
I := [4], K := 7, J := [14], L := 17
I := [5], K := 7, J := [14], L := 17
I := [6], K := 7, J := [14], L := 17
I := [5], K := 8, J := [14], L := 17
I := [6], K := 8, J := [14], L := 17
I := [7], K := 8, J := [14], L := 17
I := [6], K := 9, J := [14], L := 17
I := [7], K := 9, J := [14], L := 17
I := [8], K := 9, J := [14], L := 17
I := [7], K := 10, J := [14], L := 17
I := [8], K := 10, J := [14], L := 17
I := [9], K := 10, J := [14], L := 17
I := [8], K := 11, J := [14], L := 17
I := [9], K := 11, J := [14], L := 17
I := [10], K := 11, J := [14], L := 17
I := [9], K := 12, J := [14], L := 17
I := [10], K := 12, J := [14], L := 17
I := [11], K := 12, J := [14], L := 17
I := [10], K := 13, J := [14], L := 17
I := [11], K := 13, J := [14], L := 17
I := [12], K := 13, J := [14], L := 17
I := [1], K := 3, J := [15], L := 17
I := [2], K := 3, J := [15], L := 17
I := [2], K := 4, J := [15], L := 17
I := [3], K := 4, J := [15], L := 17
I := [3], K := 5, J := [15], L := 17
I := [4], K := 5, J := [15], L := 17
I := [4], K := 6, J := [15], L := 17
I := [5], K := 6, J := [15], L := 17
I := [5], K := 7, J := [15], L := 17
I := [6], K := 7, J := [15], L := 17
I := [6], K := 8, J := [15], L := 17
I := [7], K := 8, J := [15], L := 17
I := [7], K := 9, J := [15], L := 17
I := [8], K := 9, J := [15], L := 17
I := [8], K := 10, J := [15], L := 17
I := [9], K := 10, J := [15], L := 17
I := [9], K := 11, J := [15], L := 17
I := [10], K := 11, J := [15], L := 17
I := [10], K := 12, J := [15], L := 17
I := [11], K := 12, J := [15], L := 17
I := [11], K := 13, J := [15], L := 17
I := [12], K := 13, J := [15], L := 17
I := [12], K := 14, J := [15], L := 17
I := [13], K := 14, J := [15], L := 17
I := [1], K := 2, J := [16], L := 17
I := [2], K := 3, J := [16], L := 17
I := [3], K := 4, J := [16], L := 17
I := [4], K := 5, J := [16], L := 17
I := [5], K := 6, J := [16], L := 17
I := [6], K := 7, J := [16], L := 17
I := [7], K := 8, J := [16], L := 17
I := [8], K := 9, J := [16], L := 17
I := [9], K := 10, J := [16], L := 17
I := [10], K := 11, J := [16], L := 17
I := [11], K := 12, J := [16], L := 17
I := [12], K := 13, J := [16], L := 17
I := [13], K := 14, J := [16], L := 17
I := [14], K := 15, J := [16], L := 17
I := [1], K := 9, J := [10], L := 18
I := [2], K := 9, J := [10], L := 18
I := [3], K := 9, J := [10], L := 18
I := [4], K := 9, J := [10], L := 18
I := [5], K := 9, J := [10], L := 18
I := [6], K := 9, J := [10], L := 18
I := [7], K := 9, J := [10], L := 18
I := [8], K := 9, J := [10], L := 18
I := [1], K := 8, J := [11], L := 18
I := [2], K := 8, J := [11], L := 18
I := [3], K := 8, J := [11], L := 18
I := [4], K := 8, J := [11], L := 18
I := [5], K := 8, J := [11], L := 18
I := [6], K := 8, J := [11], L := 18
I := [7], K := 8, J := [11], L := 18
I := [2], K := 9, J := [11], L := 18
I := [3], K := 9, J := [11], L := 18
I := [4], K := 9, J := [11], L := 18
I := [5], K := 9, J := [11], L := 18
I := [6], K := 9, J := [11], L := 18
I := [7], K := 9, J := [11], L := 18
I := [8], K := 9, J := [11], L := 18
I := [3], K := 10, J := [11], L := 18
I := [4], K := 10, J := [11], L := 18
I := [5], K := 10, J := [11], L := 18
I := [6], K := 10, J := [11], L := 18
I := [7], K := 10, J := [11], L := 18
I := [8], K := 10, J := [11], L := 18
I := [9], K := 10, J := [11], L := 18
I := [1], K := 7, J := [12], L := 18
I := [2], K := 7, J := [12], L := 18
I := [3], K := 7, J := [12], L := 18
I := [4], K := 7, J := [12], L := 18
I := [5], K := 7, J := [12], L := 18
I := [6], K := 7, J := [12], L := 18
I := [2], K := 8, J := [12], L := 18
I := [3], K := 8, J := [12], L := 18
I := [4], K := 8, J := [12], L := 18
I := [5], K := 8, J := [12], L := 18
I := [6], K := 8, J := [12], L := 18
I := [7], K := 8, J := [12], L := 18
I := [3], K := 9, J := [12], L := 18
I := [4], K := 9, J := [12], L := 18
I := [5], K := 9, J := [12], L := 18
I := [6], K := 9, J := [12], L := 18
I := [7], K := 9, J := [12], L := 18
I := [8], K := 9, J := [12], L := 18
I := [4], K := 10, J := [12], L := 18
I := [5], K := 10, J := [12], L := 18
I := [6], K := 10, J := [12], L := 18
I := [7], K := 10, J := [12], L := 18
I := [8], K := 10, J := [12], L := 18
I := [9], K := 10, J := [12], L := 18
I := [5], K := 11, J := [12], L := 18
I := [6], K := 11, J := [12], L := 18
I := [7], K := 11, J := [12], L := 18
I := [8], K := 11, J := [12], L := 18
I := [9], K := 11, J := [12], L := 18
I := [10], K := 11, J := [12], L := 18
I := [1], K := 6, J := [13], L := 18
I := [2], K := 6, J := [13], L := 18
I := [3], K := 6, J := [13], L := 18
I := [4], K := 6, J := [13], L := 18
I := [5], K := 6, J := [13], L := 18
I := [2], K := 7, J := [13], L := 18
I := [3], K := 7, J := [13], L := 18
I := [4], K := 7, J := [13], L := 18
I := [5], K := 7, J := [13], L := 18
I := [6], K := 7, J := [13], L := 18
I := [3], K := 8, J := [13], L := 18
I := [4], K := 8, J := [13], L := 18
I := [5], K := 8, J := [13], L := 18
I := [6], K := 8, J := [13], L := 18
I := [7], K := 8, J := [13], L := 18
I := [4], K := 9, J := [13], L := 18
I := [5], K := 9, J := [13], L := 18
I := [6], K := 9, J := [13], L := 18
I := [7], K := 9, J := [13], L := 18
I := [8], K := 9, J := [13], L := 18
I := [5], K := 10, J := [13], L := 18
I := [6], K := 10, J := [13], L := 18
I := [7], K := 10, J := [13], L := 18
I := [8], K := 10, J := [13], L := 18
I := [9], K := 10, J := [13], L := 18
I := [6], K := 11, J := [13], L := 18
I := [7], K := 11, J := [13], L := 18
I := [8], K := 11, J := [13], L := 18
I := [9], K := 11, J := [13], L := 18
I := [10], K := 11, J := [13], L := 18
I := [7], K := 12, J := [13], L := 18
I := [8], K := 12, J := [13], L := 18
I := [9], K := 12, J := [13], L := 18
I := [10], K := 12, J := [13], L := 18
I := [11], K := 12, J := [13], L := 18
I := [1], K := 5, J := [14], L := 18
I := [2], K := 5, J := [14], L := 18
I := [3], K := 5, J := [14], L := 18
I := [4], K := 5, J := [14], L := 18
I := [2], K := 6, J := [14], L := 18
I := [3], K := 6, J := [14], L := 18
I := [4], K := 6, J := [14], L := 18
I := [5], K := 6, J := [14], L := 18
I := [3], K := 7, J := [14], L := 18
I := [4], K := 7, J := [14], L := 18
I := [5], K := 7, J := [14], L := 18
I := [6], K := 7, J := [14], L := 18
I := [4], K := 8, J := [14], L := 18
I := [5], K := 8, J := [14], L := 18
I := [6], K := 8, J := [14], L := 18
I := [7], K := 8, J := [14], L := 18
I := [5], K := 9, J := [14], L := 18
I := [6], K := 9, J := [14], L := 18
I := [7], K := 9, J := [14], L := 18
I := [8], K := 9, J := [14], L := 18
I := [6], K := 10, J := [14], L := 18
I := [7], K := 10, J := [14], L := 18
I := [8], K := 10, J := [14], L := 18
I := [9], K := 10, J := [14], L := 18
I := [7], K := 11, J := [14], L := 18
I := [8], K := 11, J := [14], L := 18
I := [9], K := 11, J := [14], L := 18
I := [10], K := 11, J := [14], L := 18
I := [8], K := 12, J := [14], L := 18
I := [9], K := 12, J := [14], L := 18
I := [10], K := 12, J := [14], L := 18
I := [11], K := 12, J := [14], L := 18
I := [9], K := 13, J := [14], L := 18
I := [10], K := 13, J := [14], L := 18
I := [11], K := 13, J := [14], L := 18
I := [12], K := 13, J := [14], L := 18
I := [1], K := 4, J := [15], L := 18
I := [2], K := 4, J := [15], L := 18
I := [3], K := 4, J := [15], L := 18
I := [2], K := 5, J := [15], L := 18
I := [3], K := 5, J := [15], L := 18
I := [4], K := 5, J := [15], L := 18
I := [3], K := 6, J := [15], L := 18
I := [4], K := 6, J := [15], L := 18
I := [5], K := 6, J := [15], L := 18
I := [4], K := 7, J := [15], L := 18
I := [5], K := 7, J := [15], L := 18
I := [6], K := 7, J := [15], L := 18
I := [5], K := 8, J := [15], L := 18
I := [6], K := 8, J := [15], L := 18
I := [7], K := 8, J := [15], L := 18
I := [6], K := 9, J := [15], L := 18
I := [7], K := 9, J := [15], L := 18
I := [8], K := 9, J := [15], L := 18
I := [7], K := 10, J := [15], L := 18
I := [8], K := 10, J := [15], L := 18
I := [9], K := 10, J := [15], L := 18
I := [8], K := 11, J := [15], L := 18
I := [9], K := 11, J := [15], L := 18
I := [10], K := 11, J := [15], L := 18
I := [9], K := 12, J := [15], L := 18
I := [10], K := 12, J := [15], L := 18
I := [11], K := 12, J := [15], L := 18
I := [10], K := 13, J := [15], L := 18
I := [11], K := 13, J := [15], L := 18
I := [12], K := 13, J := [15], L := 18
I := [11], K := 14, J := [15], L := 18
I := [12], K := 14, J := [15], L := 18
I := [13], K := 14, J := [15], L := 18
I := [1], K := 3, J := [16], L := 18
I := [2], K := 3, J := [16], L := 18
I := [2], K := 4, J := [16], L := 18
I := [3], K := 4, J := [16], L := 18
I := [3], K := 5, J := [16], L := 18
I := [4], K := 5, J := [16], L := 18
I := [4], K := 6, J := [16], L := 18
I := [5], K := 6, J := [16], L := 18
I := [5], K := 7, J := [16], L := 18
I := [6], K := 7, J := [16], L := 18
I := [6], K := 8, J := [16], L := 18
I := [7], K := 8, J := [16], L := 18
I := [7], K := 9, J := [16], L := 18
I := [8], K := 9, J := [16], L := 18
I := [8], K := 10, J := [16], L := 18
I := [9], K := 10, J := [16], L := 18
I := [9], K := 11, J := [16], L := 18
I := [10], K := 11, J := [16], L := 18
I := [10], K := 12, J := [16], L := 18
I := [11], K := 12, J := [16], L := 18
I := [11], K := 13, J := [16], L := 18
I := [12], K := 13, J := [16], L := 18
I := [12], K := 14, J := [16], L := 18
I := [13], K := 14, J := [16], L := 18
I := [13], K := 15, J := [16], L := 18
I := [14], K := 15, J := [16], L := 18
I := [1], K := 2, J := [17], L := 18
I := [2], K := 3, J := [17], L := 18
I := [3], K := 4, J := [17], L := 18
I := [4], K := 5, J := [17], L := 18
I := [5], K := 6, J := [17], L := 18
I := [6], K := 7, J := [17], L := 18
I := [7], K := 8, J := [17], L := 18
I := [8], K := 9, J := [17], L := 18
I := [9], K := 10, J := [17], L := 18
I := [10], K := 11, J := [17], L := 18
I := [11], K := 12, J := [17], L := 18
I := [12], K := 13, J := [17], L := 18
I := [13], K := 14, J := [17], L := 18
I := [14], K := 15, J := [17], L := 18
I := [15], K := 16, J := [17], L := 18
I := [1], K := 9, J := [11], L := 19
I := [2], K := 9, J := [11], L := 19
I := [3], K := 9, J := [11], L := 19
I := [4], K := 9, J := [11], L := 19
I := [5], K := 9, J := [11], L := 19
I := [6], K := 9, J := [11], L := 19
I := [7], K := 9, J := [11], L := 19
I := [8], K := 9, J := [11], L := 19
I := [2], K := 10, J := [11], L := 19
I := [3], K := 10, J := [11], L := 19
I := [4], K := 10, J := [11], L := 19
I := [5], K := 10, J := [11], L := 19
I := [6], K := 10, J := [11], L := 19
I := [7], K := 10, J := [11], L := 19
I := [8], K := 10, J := [11], L := 19
I := [9], K := 10, J := [11], L := 19
I := [1], K := 8, J := [12], L := 19
I := [2], K := 8, J := [12], L := 19
I := [3], K := 8, J := [12], L := 19
I := [4], K := 8, J := [12], L := 19
I := [5], K := 8, J := [12], L := 19
I := [6], K := 8, J := [12], L := 19
I := [7], K := 8, J := [12], L := 19
I := [2], K := 9, J := [12], L := 19
I := [3], K := 9, J := [12], L := 19
I := [4], K := 9, J := [12], L := 19
I := [5], K := 9, J := [12], L := 19
I := [6], K := 9, J := [12], L := 19
I := [7], K := 9, J := [12], L := 19
I := [8], K := 9, J := [12], L := 19
I := [3], K := 10, J := [12], L := 19
I := [4], K := 10, J := [12], L := 19
I := [5], K := 10, J := [12], L := 19
I := [6], K := 10, J := [12], L := 19
I := [7], K := 10, J := [12], L := 19
I := [8], K := 10, J := [12], L := 19
I := [9], K := 10, J := [12], L := 19
I := [4], K := 11, J := [12], L := 19
I := [5], K := 11, J := [12], L := 19
I := [6], K := 11, J := [12], L := 19
I := [7], K := 11, J := [12], L := 19
I := [8], K := 11, J := [12], L := 19
I := [9], K := 11, J := [12], L := 19
I := [10], K := 11, J := [12], L := 19
I := [1], K := 7, J := [13], L := 19
I := [2], K := 7, J := [13], L := 19
I := [3], K := 7, J := [13], L := 19
I := [4], K := 7, J := [13], L := 19
I := [5], K := 7, J := [13], L := 19
I := [6], K := 7, J := [13], L := 19
I := [2], K := 8, J := [13], L := 19
I := [3], K := 8, J := [13], L := 19
I := [4], K := 8, J := [13], L := 19
I := [5], K := 8, J := [13], L := 19
I := [6], K := 8, J := [13], L := 19
I := [7], K := 8, J := [13], L := 19
I := [3], K := 9, J := [13], L := 19
I := [4], K := 9, J := [13], L := 19
I := [5], K := 9, J := [13], L := 19
I := [6], K := 9, J := [13], L := 19
I := [7], K := 9, J := [13], L := 19
I := [8], K := 9, J := [13], L := 19
I := [4], K := 10, J := [13], L := 19
I := [5], K := 10, J := [13], L := 19
I := [6], K := 10, J := [13], L := 19
I := [7], K := 10, J := [13], L := 19
I := [8], K := 10, J := [13], L := 19
I := [9], K := 10, J := [13], L := 19
I := [5], K := 11, J := [13], L := 19
I := [6], K := 11, J := [13], L := 19
I := [7], K := 11, J := [13], L := 19
I := [8], K := 11, J := [13], L := 19
I := [9], K := 11, J := [13], L := 19
I := [10], K := 11, J := [13], L := 19
I := [6], K := 12, J := [13], L := 19
I := [7], K := 12, J := [13], L := 19
I := [8], K := 12, J := [13], L := 19
I := [9], K := 12, J := [13], L := 19
I := [10], K := 12, J := [13], L := 19
I := [11], K := 12, J := [13], L := 19
I := [1], K := 6, J := [14], L := 19
I := [2], K := 6, J := [14], L := 19
I := [3], K := 6, J := [14], L := 19
I := [4], K := 6, J := [14], L := 19
I := [5], K := 6, J := [14], L := 19
I := [2], K := 7, J := [14], L := 19
I := [3], K := 7, J := [14], L := 19
I := [4], K := 7, J := [14], L := 19
I := [5], K := 7, J := [14], L := 19
I := [6], K := 7, J := [14], L := 19
I := [3], K := 8, J := [14], L := 19
I := [4], K := 8, J := [14], L := 19
I := [5], K := 8, J := [14], L := 19
I := [6], K := 8, J := [14], L := 19
I := [7], K := 8, J := [14], L := 19
I := [4], K := 9, J := [14], L := 19
I := [5], K := 9, J := [14], L := 19
I := [6], K := 9, J := [14], L := 19
I := [7], K := 9, J := [14], L := 19
I := [8], K := 9, J := [14], L := 19
I := [5], K := 10, J := [14], L := 19
I := [6], K := 10, J := [14], L := 19
I := [7], K := 10, J := [14], L := 19
I := [8], K := 10, J := [14], L := 19
I := [9], K := 10, J := [14], L := 19
I := [6], K := 11, J := [14], L := 19
I := [7], K := 11, J := [14], L := 19
I := [8], K := 11, J := [14], L := 19
I := [9], K := 11, J := [14], L := 19
I := [10], K := 11, J := [14], L := 19
I := [7], K := 12, J := [14], L := 19
I := [8], K := 12, J := [14], L := 19
I := [9], K := 12, J := [14], L := 19
I := [10], K := 12, J := [14], L := 19
I := [11], K := 12, J := [14], L := 19
I := [8], K := 13, J := [14], L := 19
I := [9], K := 13, J := [14], L := 19
I := [10], K := 13, J := [14], L := 19
I := [11], K := 13, J := [14], L := 19
I := [12], K := 13, J := [14], L := 19
I := [1], K := 5, J := [15], L := 19
I := [2], K := 5, J := [15], L := 19
I := [3], K := 5, J := [15], L := 19
I := [4], K := 5, J := [15], L := 19
I := [2], K := 6, J := [15], L := 19
I := [3], K := 6, J := [15], L := 19
I := [4], K := 6, J := [15], L := 19
I := [5], K := 6, J := [15], L := 19
I := [3], K := 7, J := [15], L := 19
I := [4], K := 7, J := [15], L := 19
I := [5], K := 7, J := [15], L := 19
I := [6], K := 7, J := [15], L := 19
I := [4], K := 8, J := [15], L := 19
I := [5], K := 8, J := [15], L := 19
I := [6], K := 8, J := [15], L := 19
I := [7], K := 8, J := [15], L := 19
I := [5], K := 9, J := [15], L := 19
I := [6], K := 9, J := [15], L := 19
I := [7], K := 9, J := [15], L := 19
I := [8], K := 9, J := [15], L := 19
I := [6], K := 10, J := [15], L := 19
I := [7], K := 10, J := [15], L := 19
I := [8], K := 10, J := [15], L := 19
I := [9], K := 10, J := [15], L := 19
I := [7], K := 11, J := [15], L := 19
I := [8], K := 11, J := [15], L := 19
I := [9], K := 11, J := [15], L := 19
I := [10], K := 11, J := [15], L := 19
I := [8], K := 12, J := [15], L := 19
I := [9], K := 12, J := [15], L := 19
I := [10], K := 12, J := [15], L := 19
I := [11], K := 12, J := [15], L := 19
I := [9], K := 13, J := [15], L := 19
I := [10], K := 13, J := [15], L := 19
I := [11], K := 13, J := [15], L := 19
I := [12], K := 13, J := [15], L := 19
I := [10], K := 14, J := [15], L := 19
I := [11], K := 14, J := [15], L := 19
I := [12], K := 14, J := [15], L := 19
I := [13], K := 14, J := [15], L := 19
I := [1], K := 4, J := [16], L := 19
I := [2], K := 4, J := [16], L := 19
I := [3], K := 4, J := [16], L := 19
I := [2], K := 5, J := [16], L := 19
I := [3], K := 5, J := [16], L := 19
I := [4], K := 5, J := [16], L := 19
I := [3], K := 6, J := [16], L := 19
I := [4], K := 6, J := [16], L := 19
I := [5], K := 6, J := [16], L := 19
I := [4], K := 7, J := [16], L := 19
I := [5], K := 7, J := [16], L := 19
I := [6], K := 7, J := [16], L := 19
I := [5], K := 8, J := [16], L := 19
I := [6], K := 8, J := [16], L := 19
I := [7], K := 8, J := [16], L := 19
I := [6], K := 9, J := [16], L := 19
I := [7], K := 9, J := [16], L := 19
I := [8], K := 9, J := [16], L := 19
I := [7], K := 10, J := [16], L := 19
I := [8], K := 10, J := [16], L := 19
I := [9], K := 10, J := [16], L := 19
I := [8], K := 11, J := [16], L := 19
I := [9], K := 11, J := [16], L := 19
I := [10], K := 11, J := [16], L := 19
I := [9], K := 12, J := [16], L := 19
I := [10], K := 12, J := [16], L := 19
I := [11], K := 12, J := [16], L := 19
I := [10], K := 13, J := [16], L := 19
I := [11], K := 13, J := [16], L := 19
I := [12], K := 13, J := [16], L := 19
I := [11], K := 14, J := [16], L := 19
I := [12], K := 14, J := [16], L := 19
I := [13], K := 14, J := [16], L := 19
I := [12], K := 15, J := [16], L := 19
I := [13], K := 15, J := [16], L := 19
I := [14], K := 15, J := [16], L := 19
I := [1], K := 3, J := [17], L := 19
I := [2], K := 3, J := [17], L := 19
I := [2], K := 4, J := [17], L := 19
I := [3], K := 4, J := [17], L := 19
I := [3], K := 5, J := [17], L := 19
I := [4], K := 5, J := [17], L := 19
I := [4], K := 6, J := [17], L := 19
I := [5], K := 6, J := [17], L := 19
I := [5], K := 7, J := [17], L := 19
I := [6], K := 7, J := [17], L := 19
I := [6], K := 8, J := [17], L := 19
I := [7], K := 8, J := [17], L := 19
I := [7], K := 9, J := [17], L := 19
I := [8], K := 9, J := [17], L := 19
I := [8], K := 10, J := [17], L := 19
I := [9], K := 10, J := [17], L := 19
I := [9], K := 11, J := [17], L := 19
I := [10], K := 11, J := [17], L := 19
I := [10], K := 12, J := [17], L := 19
I := [11], K := 12, J := [17], L := 19
I := [11], K := 13, J := [17], L := 19
I := [12], K := 13, J := [17], L := 19
I := [12], K := 14, J := [17], L := 19
I := [13], K := 14, J := [17], L := 19
I := [13], K := 15, J := [17], L := 19
I := [14], K := 15, J := [17], L := 19
I := [14], K := 16, J := [17], L := 19
I := [15], K := 16, J := [17], L := 19
I := [1], K := 2, J := [18], L := 19
I := [2], K := 3, J := [18], L := 19
I := [3], K := 4, J := [18], L := 19
I := [4], K := 5, J := [18], L := 19
I := [5], K := 6, J := [18], L := 19
I := [6], K := 7, J := [18], L := 19
I := [7], K := 8, J := [18], L := 19
I := [8], K := 9, J := [18], L := 19
I := [9], K := 10, J := [18], L := 19
I := [10], K := 11, J := [18], L := 19
I := [11], K := 12, J := [18], L := 19
I := [12], K := 13, J := [18], L := 19
I := [13], K := 14, J := [18], L := 19
I := [14], K := 15, J := [18], L := 19
I := [15], K := 16, J := [18], L := 19
I := [16], K := 17, J := [18], L := 19
I := [1], K := 10, J := [11], L := 20
I := [2], K := 10, J := [11], L := 20
I := [3], K := 10, J := [11], L := 20
I := [4], K := 10, J := [11], L := 20
I := [5], K := 10, J := [11], L := 20
I := [6], K := 10, J := [11], L := 20
I := [7], K := 10, J := [11], L := 20
I := [8], K := 10, J := [11], L := 20
I := [9], K := 10, J := [11], L := 20
I := [1], K := 9, J := [12], L := 20
I := [2], K := 9, J := [12], L := 20
I := [3], K := 9, J := [12], L := 20
I := [4], K := 9, J := [12], L := 20
I := [5], K := 9, J := [12], L := 20
I := [6], K := 9, J := [12], L := 20
I := [7], K := 9, J := [12], L := 20
I := [8], K := 9, J := [12], L := 20
I := [2], K := 10, J := [12], L := 20
I := [3], K := 10, J := [12], L := 20
I := [4], K := 10, J := [12], L := 20
I := [5], K := 10, J := [12], L := 20
I := [6], K := 10, J := [12], L := 20
I := [7], K := 10, J := [12], L := 20
I := [8], K := 10, J := [12], L := 20
I := [9], K := 10, J := [12], L := 20
I := [3], K := 11, J := [12], L := 20
I := [4], K := 11, J := [12], L := 20
I := [5], K := 11, J := [12], L := 20
I := [6], K := 11, J := [12], L := 20
I := [7], K := 11, J := [12], L := 20
I := [8], K := 11, J := [12], L := 20
I := [9], K := 11, J := [12], L := 20
I := [10], K := 11, J := [12], L := 20
I := [1], K := 8, J := [13], L := 20
I := [2], K := 8, J := [13], L := 20
I := [3], K := 8, J := [13], L := 20
I := [4], K := 8, J := [13], L := 20
I := [5], K := 8, J := [13], L := 20
I := [6], K := 8, J := [13], L := 20
I := [7], K := 8, J := [13], L := 20
I := [2], K := 9, J := [13], L := 20
I := [3], K := 9, J := [13], L := 20
I := [4], K := 9, J := [13], L := 20
I := [5], K := 9, J := [13], L := 20
I := [6], K := 9, J := [13], L := 20
I := [7], K := 9, J := [13], L := 20
I := [8], K := 9, J := [13], L := 20
I := [3], K := 10, J := [13], L := 20
I := [4], K := 10, J := [13], L := 20
I := [5], K := 10, J := [13], L := 20
I := [6], K := 10, J := [13], L := 20
I := [7], K := 10, J := [13], L := 20
I := [8], K := 10, J := [13], L := 20
I := [9], K := 10, J := [13], L := 20
I := [4], K := 11, J := [13], L := 20
I := [5], K := 11, J := [13], L := 20
I := [6], K := 11, J := [13], L := 20
I := [7], K := 11, J := [13], L := 20
I := [8], K := 11, J := [13], L := 20
I := [9], K := 11, J := [13], L := 20
I := [10], K := 11, J := [13], L := 20
I := [5], K := 12, J := [13], L := 20
I := [6], K := 12, J := [13], L := 20
I := [7], K := 12, J := [13], L := 20
I := [8], K := 12, J := [13], L := 20
I := [9], K := 12, J := [13], L := 20
I := [10], K := 12, J := [13], L := 20
I := [11], K := 12, J := [13], L := 20
I := [1], K := 7, J := [14], L := 20
I := [2], K := 7, J := [14], L := 20
I := [3], K := 7, J := [14], L := 20
I := [4], K := 7, J := [14], L := 20
I := [5], K := 7, J := [14], L := 20
I := [6], K := 7, J := [14], L := 20
I := [2], K := 8, J := [14], L := 20
I := [3], K := 8, J := [14], L := 20
I := [4], K := 8, J := [14], L := 20
I := [5], K := 8, J := [14], L := 20
I := [6], K := 8, J := [14], L := 20
I := [7], K := 8, J := [14], L := 20
I := [3], K := 9, J := [14], L := 20
I := [4], K := 9, J := [14], L := 20
I := [5], K := 9, J := [14], L := 20
I := [6], K := 9, J := [14], L := 20
I := [7], K := 9, J := [14], L := 20
I := [8], K := 9, J := [14], L := 20
I := [4], K := 10, J := [14], L := 20
I := [5], K := 10, J := [14], L := 20
I := [6], K := 10, J := [14], L := 20
I := [7], K := 10, J := [14], L := 20
I := [8], K := 10, J := [14], L := 20
I := [9], K := 10, J := [14], L := 20
I := [5], K := 11, J := [14], L := 20
I := [6], K := 11, J := [14], L := 20
I := [7], K := 11, J := [14], L := 20
I := [8], K := 11, J := [14], L := 20
I := [9], K := 11, J := [14], L := 20
I := [10], K := 11, J := [14], L := 20
I := [6], K := 12, J := [14], L := 20
I := [7], K := 12, J := [14], L := 20
I := [8], K := 12, J := [14], L := 20
I := [9], K := 12, J := [14], L := 20
I := [10], K := 12, J := [14], L := 20
I := [11], K := 12, J := [14], L := 20
I := [7], K := 13, J := [14], L := 20
I := [8], K := 13, J := [14], L := 20
I := [9], K := 13, J := [14], L := 20
I := [10], K := 13, J := [14], L := 20
I := [11], K := 13, J := [14], L := 20
I := [12], K := 13, J := [14], L := 20
I := [1], K := 6, J := [15], L := 20
I := [2], K := 6, J := [15], L := 20
I := [3], K := 6, J := [15], L := 20
I := [4], K := 6, J := [15], L := 20
I := [5], K := 6, J := [15], L := 20
I := [2], K := 7, J := [15], L := 20
I := [3], K := 7, J := [15], L := 20
I := [4], K := 7, J := [15], L := 20
I := [5], K := 7, J := [15], L := 20
I := [6], K := 7, J := [15], L := 20
I := [3], K := 8, J := [15], L := 20
I := [4], K := 8, J := [15], L := 20
I := [5], K := 8, J := [15], L := 20
I := [6], K := 8, J := [15], L := 20
I := [7], K := 8, J := [15], L := 20
I := [4], K := 9, J := [15], L := 20
I := [5], K := 9, J := [15], L := 20
I := [6], K := 9, J := [15], L := 20
I := [7], K := 9, J := [15], L := 20
I := [8], K := 9, J := [15], L := 20
I := [5], K := 10, J := [15], L := 20
I := [6], K := 10, J := [15], L := 20
I := [7], K := 10, J := [15], L := 20
I := [8], K := 10, J := [15], L := 20
I := [9], K := 10, J := [15], L := 20
I := [6], K := 11, J := [15], L := 20
I := [7], K := 11, J := [15], L := 20
I := [8], K := 11, J := [15], L := 20
I := [9], K := 11, J := [15], L := 20
I := [10], K := 11, J := [15], L := 20
I := [7], K := 12, J := [15], L := 20
I := [8], K := 12, J := [15], L := 20
I := [9], K := 12, J := [15], L := 20
I := [10], K := 12, J := [15], L := 20
I := [11], K := 12, J := [15], L := 20
I := [8], K := 13, J := [15], L := 20
I := [9], K := 13, J := [15], L := 20
I := [10], K := 13, J := [15], L := 20
I := [11], K := 13, J := [15], L := 20
I := [12], K := 13, J := [15], L := 20
I := [9], K := 14, J := [15], L := 20
I := [10], K := 14, J := [15], L := 20
I := [11], K := 14, J := [15], L := 20
I := [12], K := 14, J := [15], L := 20
I := [13], K := 14, J := [15], L := 20
I := [1], K := 5, J := [16], L := 20
I := [2], K := 5, J := [16], L := 20
I := [3], K := 5, J := [16], L := 20
I := [4], K := 5, J := [16], L := 20
I := [2], K := 6, J := [16], L := 20
I := [3], K := 6, J := [16], L := 20
I := [4], K := 6, J := [16], L := 20
I := [5], K := 6, J := [16], L := 20
I := [3], K := 7, J := [16], L := 20
I := [4], K := 7, J := [16], L := 20
I := [5], K := 7, J := [16], L := 20
I := [6], K := 7, J := [16], L := 20
I := [4], K := 8, J := [16], L := 20
I := [5], K := 8, J := [16], L := 20
I := [6], K := 8, J := [16], L := 20
I := [7], K := 8, J := [16], L := 20
I := [5], K := 9, J := [16], L := 20
I := [6], K := 9, J := [16], L := 20
I := [7], K := 9, J := [16], L := 20
I := [8], K := 9, J := [16], L := 20
I := [6], K := 10, J := [16], L := 20
I := [7], K := 10, J := [16], L := 20
I := [8], K := 10, J := [16], L := 20
I := [9], K := 10, J := [16], L := 20
I := [7], K := 11, J := [16], L := 20
I := [8], K := 11, J := [16], L := 20
I := [9], K := 11, J := [16], L := 20
I := [10], K := 11, J := [16], L := 20
I := [8], K := 12, J := [16], L := 20
